topic,subtopic,name,equation_latex,description_from_image,formula_in_plain_english,description_from_gemini,sympy_formula
Physical Fundamentals of Mechanics,Hydrodynamics,Poiseuille's Law,Q = \frac{\pi R^4}{8\eta} \frac{p_1 - p_2}{l},"Poiseuille's law. The volume of liquid flowing through a circular tube (in $\mathrm{m}^3/\mathrm{s}$): where $R$ and $l$ are the tube's radius and length, $p_1 - p_2$ is the pressure difference between the ends of the tube.","Volume flow rate equals pi times the tube radius to the fourth power, divided by eight times fluid viscosity, all multiplied by the pressure difference divided by the tube length.","Poiseuille's law describes the laminar flow of an incompressible Newtonian fluid through a long cylindrical pipe of constant circular cross-section. It quantifies the volume flow rate as a function of the pressure difference, pipe dimensions (radius and length), and fluid viscosity. It's used in applications like blood flow in capillaries, fluid transport in microfluidic devices, and pipe sizing.","from sympy import symbols, Eq, pi
Q, R, eta, p1, p2, l = symbols('Q R eta p1 p2 l')
Eq(Q, pi * R**4 / (8 * eta) * (p1 - p2) / l)"
Physical Fundamentals of Mechanics,Hydrodynamics,Stokes' Law,F = 6\pi\eta r v,Stokes' law. The friction force on the sphere of radius $r$ moving through a viscous fluid:,Friction force equals six pi times fluid viscosity times sphere radius times sphere velocity.,"Stokes' law describes the drag force experienced by a small spherical object moving at a low Reynolds number (laminar flow) through a viscous fluid. It's used to calculate the settling velocity of particles in a fluid (sedimentation), analyze the motion of small organisms, and in viscometry. It assumes a smooth, rigid sphere and a homogeneous, incompressible fluid.","from sympy import symbols, Eq, pi
F, eta, r, v = symbols('F eta r v')
Eq(F, 6 * pi * eta * r * v)"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Lorentz Contraction,l = l _ { 0 } \sqrt { 1 - ( v / c ) ^ { 2 } },Lorentz contraction of length and slowing of a moving clock: where $l _ { 0 }$ is the proper length,"Length l equals proper length l-naught times the square root of one minus the ratio of velocity v to the speed of light c, squared.",Describes how the length of an object measured by an observer moving relative to the object appears shorter in the direction of motion. Used in special relativity to account for the relative motion between frames of reference.,"Eq(l, l_0*sqrt(1 - (v/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Time Dilation,\Delta t = \frac { \Delta t _ { 0 } } { \sqrt { 1 - ( v / c ) ^ { 2 } } },Lorentz contraction of length and slowing of a moving clock: where $\Delta t _ { 0 }$ is the proper time of the moving clock.,"Change in time delta-t equals proper time delta-t-naught divided by the square root of one minus the ratio of velocity v to the speed of light c, squared.","Describes how a moving clock appears to run slower when observed from a stationary frame of reference. A fundamental consequence of special relativity, explaining phenomena like muon decay.","Eq(Delta_t, Delta_t_0/sqrt(1 - (v/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Lorentz Transformation (x-coordinate),x ^ { \prime } = \frac { x - V t } { \sqrt { 1 - ( V / c ) ^ { 2 } } },Lorentz transformation*,"x-prime equals x minus V times t, all divided by the square root of one minus the ratio of velocity V to the speed of light c, squared.",Transforms the spatial x-coordinate of an event from one inertial frame (K) to another (K') moving at a constant velocity V relative to K along the x-axis. Essential for relating observations between different relativistic reference frames.,"Eq(x_prime, (x - V*t)/sqrt(1 - (V/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Lorentz Transformation (y-coordinate),y ^ { \prime } = y,Lorentz transformation*,y-prime equals y.,States that the y-coordinate of an event remains unchanged between two inertial frames when the relative motion is purely along the x-axis. This reflects the isotropy of space perpendicular to the direction of relative motion.,"Eq(y_prime, y)"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Lorentz Transformation (time),t ^ { \prime } = \frac { t - x V / c ^ { 2 } } { 1 - ( V / c ) ^ { 2 } },Lorentz transformation*,"t-prime equals t minus x times V divided by c squared, all divided by one minus the ratio of V to c, squared.",Transforms the time coordinate of an event from one inertial frame (K) to another (K') moving at a constant velocity V relative to K along the x-axis. This shows that time is not absolute and depends on the observer's motion.,"Eq(t_prime, (t - x*V/c**2)/(1 - (V/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Spacetime Interval,s _ { 1 2 } ^ { 2 } = c ^ { 2 } t _ { 1 2 } ^ { 2 } - l _ { 1 2 } ^ { 2 },"Interval $s _ { 1 2 }$ is an invariant: where $t _ { 1 2 }$ is the time interval between events 1 and 2, $l _ { 1 2 }$ is the distance between the points at which these events occurred.","The square of the spacetime interval s-one-two equals the speed of light c squared times the time interval t-one-two squared, minus the spatial distance l-one-two squared.","Defines the spacetime interval between two events, which is an invariant quantity in special relativity, meaning all inertial observers will measure the same value for it. It combines space and time into a single four-dimensional spacetime continuum.","Eq(s_12**2, c**2*t_12**2 - l_12**2)"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Velocity Transformation (x-component),v _ { x } ^ { \prime } = \frac { v _ { x } - V } { 1 - v _ { x } V / c ^ { 2 } },Transformation of velocity*,"v-x-prime equals v-x minus V, all divided by one minus v-x times V divided by c squared.",Transforms the x-component of a velocity from one inertial frame (K) to another (K') moving at a constant velocity V relative to K along the x-axis. This ensures that the speed of light is constant for all observers and prevents velocities from exceeding c.,"Eq(v_x_prime, (v_x - V)/(1 - v_x*V/c**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Velocity Transformation (y-component),v _ { y } ^ { \prime } = \frac { v _ { y } \sqrt { 1 - ( V / c ) ^ { 2 } } } { 1 - v _ { x } V / c ^ { 2 } },Transformation of velocity*,"v-y-prime equals v-y times the square root of one minus the ratio of V to c squared, all divided by one minus v-x times V divided by c squared.","Transforms the y-component of a velocity from one inertial frame (K) to another (K') moving at a constant velocity V relative to K along the x-axis. It shows that velocities perpendicular to the relative motion are also affected, though differently than the parallel component.","Eq(v_y_prime, v_y*sqrt(1 - (V/c)**2)/(1 - v_x*V/c**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Mass,m = \frac { m _ { 0 } } { \sqrt { 1 - ( v / c ) ^ { 2 } } },"Relativistic mass and relativistic momentum: where $m _ { 0 }$ is the rest mass, or, simply, the mass.","Relativistic mass m equals rest mass m-naught divided by the square root of one minus the ratio of velocity v to the speed of light c, squared.",Defines how the mass of an object increases as its velocity approaches the speed of light. This concept is sometimes referred to as 'relativistic mass' and is a consequence of the energy-momentum relation in special relativity.,"Eq(m, m_0/sqrt(1 - (v/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Momentum (definition),\mathbf { p } = m \mathbf { v },"Relativistic mass and relativistic momentum: where $m _ { 0 }$ is the rest mass, or, simply, the mass.",Relativistic momentum vector p equals relativistic mass m times velocity vector v.,"Defines relativistic momentum as the product of relativistic mass and velocity. This is the general definition of momentum, extended to include the relativistic increase in mass.","Eq(p, m*v)"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Momentum,\mathbf { p } = \frac { m _ { 0 } \mathbf { v } } { \sqrt { 1 - ( v / c ) ^ { 2 } } },"Relativistic mass and relativistic momentum: where $m _ { 0 }$ is the rest mass, or, simply, the mass.","Relativistic momentum vector p equals rest mass m-naught times velocity vector v, all divided by the square root of one minus the ratio of velocity v to the speed of light c, squared.","Expresses relativistic momentum in terms of rest mass, velocity, and the speed of light. This form explicitly shows how momentum increases significantly as an object's speed approaches the speed of light, reflecting the increase in effective mass.","Eq(p, m_0*v/sqrt(1 - (v/c)**2))"
Physical Fundamentals of Mechanics,Relativistic Mechanics,Relativistic Equation of Dynamics,\frac { d \mathbf { p } } { d t } = \mathbf { F },Relativistic equation of dynamics for a particle: where $\mathbf { p }$ is the relativistic momentum of the particle.,The time derivative of relativistic momentum vector p equals force vector F.,"This is Newton's second law generalized for relativistic mechanics. It states that the net force on a particle is equal to the rate of change of its relativistic momentum. This form remains valid in special relativity, unlike the classical F=ma.","Eq(Derivative(p, t), F)"
